text,sentiment,emotion
This is exactly what I wanted,Positive,Happy
Shipping was delayed,Negative,Sad
Shipping was fast,Positive,Happy
The material feels cheap,Negative,Sad
The material is durable and of good quality,Positive,Happy
The sizing is not accurate,Negative,Sad
The sizing is accurate,Positive,Happy
The software is buggy and unreliable,Negative,Angry
The software is stable and reliable,Positive,Happy
Customer support was unhelpful and rude,Negative,Angry
Customer support was extremely helpful and responsive,Positive,Happy
Returns were very easy and straight forward,Positive,Happy
I had a lot of trouble returning this item,Negative,Angry
I am never buying this again,Negative,Angry
Will gladly buy again,Positive,Happy
"Do not buy this, the support team is incompetent",Negative,Angry
This broke after one use,Negative,Angry
Great experience overall.,Positive,Happy
"Can't say anything bad, but I wouldn't rave about it.",Neutral,Neutral
"The packaging was all torn up, but the product wasn't damaged.",Neutral,Neutral
The delivery guy was really nice.,Positive,Happy
"There was nothing wrong with it, but it didn't improve my life either.",Neutral,Neutral
